place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Basil L Spurr,0:47:00,8,0:55:00,-,-,-,-,M,-,8
2,Chas Wallbridge,0:47:30,9,0:56:30,-,-,-,-,M,-,9
3,Issac Day,0:48:40,10,0:58:40,-,-,-,-,M,-,10
4,John Salmi,0:49:05,5,0:54:05,-,-,-,-,M,-,5
5,Charles Walters,0:49:40,8,0:57:40,-,-,-,-,M,-,8
6,William Rehberg,0:49:42,5,0:54:42,-,-,-,-,M,-,5
7,Albert Gorse,0:49:43,8,0:57:43,-,-,-,-,M,-,8
8,John Johnson,0:49:55,3,0:52:55,-,-,-,-,M,-,3
9,Floyd Van Tassell,0:50:03,10,1:00:03,-,-,-,-,M,-,10
10,Wayne Russell,0:50:11,5,0:55:11,-,-,-,-,M,-,5
11,Herbert Williams,0:50:12,6,0:56:12,-,-,-,-,M,-,6
12,James McGee,0:50:19,4,0:54:19,-,-,-,-,M,-,4
13,Will  Henderson,0:50:30,10,1:00:30,-,-,-,-,M,-,10
14,William Maghetti,0:50:21,6,0:56:21,-,-,-,-,M,-,6
15,C E Robinson,0:50:33,8,0:58:33,-,-,-,-,M,-,8
16,A D Codington,0:50:49,8,0:58:49,-,-,-,-,M,-,8
17,Harrison Day,0:50:42,8,0:58:42,-,-,-,-,M,-,8
18,William Howden,0:51:12,1,0:52:12,-,-,-,-,M,-,1
19,S Hedstrom,0:51:28,8,0:59:28,-,-,-,-,M,-,8
20,Ed Hartley,0:51:35,8,0:59:35,-,-,-,-,M,-,8
21,Otto Boeddiler,0:51:46,0,0:51:46,-,-,-,-,M,-,0
22,Lester Manning,0:50:09,6,0:56:09,-,-,-,-,M,-,6
23,Tom Cushing,0:53:19,4,0:57:19,-,-,-,-,M,-,4
24,Robert Schmidt,0:53:29,6,0:59:29,-,-,-,-,M,-,6
25,Dan Kierden,0:52:36,4,0:56:36,-,-,-,-,M,-,4
26,Leo Sears,0:52:30,6,0:58:30,-,-,-,-,M,-,6
27,William Farrar,0:52:21,7,0:59:21,-,-,-,-,M,-,7
28,P J Scanlon,0:53:43,4,0:57:43,-,-,-,-,M,-,4
29,J A Lund,0:52:53,5,0:57:53,-,-,-,-,M,-,5
30,Jos Copland,0:53:63,6,0:59:63,-,-,-,-,M,-,6
31,R  Howden,0:53:04,2,0:55:04,-,-,-,-,M,-,2
32,Lee Connolly,0:53:20,6,0:59:20,-,-,-,-,M,-,6
33,Al  Junge,0:53:45,8,1:02:45,-,-,-,-,M,-,8
34,Al Broderick,0:53:52,8,1:03:52,-,-,-,-,M,-,8
35,Frank Sawin,0:53:37,5,0:58:37,-,-,-,-,M,-,5
36,George Paulson,0:53:38,7,1:00:38,-,-,-,-,M,-,7
37,Dan Crowley,0:51:08,7,1:01:08,-,-,-,-,M,-,7
38,H H Hansen,0:54:12,8,1:02:12,-,-,-,-,M,-,8
39,Jack Brandt,0:54:13,8,1:02:13,-,-,-,-,M,-,8
40,H Rothstein,0:54:32,6,1:00:32,-,-,-,-,M,-,6
41,Ed M Locke,0:54:39,8,1:02:39,-,-,-,-,M,-,8
42,J F Senon,0:54:44,7,1:01:44,-,-,-,-,M,-,7
